accel,gyro,miclevel,Label
"0.40256577730178833,0.9779639840126038,0.2526782155036926","-0.5034666061401367,0.848598837852478,1.7151213884353638","-7.191664218902588,-19.61146354675293",Walking
"0.3209177255630493,0.8373629450798035,0.31629621982574463","-0.46466168761253357,1.0046643018722534,2.1485135555267334","-7.191664218902588,-21.461593627929688",Walking
"0.33723336458206177,0.7346590757369995,0.405706524848938","-0.35343557596206665,0.9035377502441406,2.509981155395508","-7.191664218902588,-14.038521766662598",Walking
"0.3319195508956909,0.7207425236701965,0.4411601424217224","-0.41316336393356323,0.6887404918670654,2.869690179824829","-7.191664218902588,-15.402501106262207",Walking
"0.14361536502838135,0.6959323883056641,0.4838670492172241","-0.6081645488739014,0.20413944125175476,3.791424036026001","-7.191664218902588,-16.228052139282227",Walking
"-0.15356433391571045,0.7533056139945984,0.48723524808883667","-0.9547432661056519,-0.46646955609321594,4.396919250488281","-7.191664218902588,-17.277645111083984",Walking
"-0.3124081492424011,0.7420864105224609,0.44475817680358887","-1.1000884771347046,-0.8716135621070862,4.609197616577148","-7.191664218902588,-19.36097526550293",Walking
"-0.5698095560073853,0.6613861918449402,0.3286365270614624","-1.04462468624115,-1.2392176389694214,4.748334884643555","-7.191664218902588,-19.894546508789062",Walking
"-0.8148001432418823,0.5680480003356934,0.25895988941192627","-1.180686116218567,-0.9484367370605469,4.564713478088379","-7.191664218902588,-21.14919662475586",Walking
"-0.9527956247329712,0.48947805166244507,0.237773597240448","-1.2627514600753784,-0.7154303789138794,4.186725616455078","-7.191664218902588,-21.989328384399414",Walking
"-1.052173137664795,0.28527557849884033,0.1542631983757019","-1.2679606676101685,-0.23291458189487457,3.2224693298339844","-7.191664218902588,-23.62765884399414",Walking
"-0.9852754473686218,0.1335034966468811,0.06828558444976807","-0.871724009513855,-0.05983414128422737,2.256767749786377","-7.191664218902588,-23.722209930419922",Walking
"-0.9631209373474121,0.15177690982818604,0.06982570886611938","-0.5302875638008118,0.024216286838054657,1.8359266519546509","-7.191664218902588,-24.410865783691406",Walking
"-0.8653672933578491,0.08549505472183228,0.12493598461151123","-0.24673150479793549,0.2166041135787964,1.3589544296264648","-7.748943328857422,-22.996187210083008",Walking
"-0.7621272206306458,-0.3163694143295288,0.10112988948822021","-0.13977974653244019,0.3676154613494873,1.3562880754470825","-8.306221961975098,-23.66130828857422",Walking
"-0.788577675819397,-0.3395255208015442,0.09187698364257812","0.1654224991798401,0.3365614116191864,1.074648141860962","-9.420780181884766,-25.05718994140625",Walking
"-0.7694140076637268,-0.29450225830078125,0.05824565887451172","1.0955402851104736,-0.17325124144554138,0.843116044998169","-9.978058815002441,-26.008628845214844",Walking
"-0.7878451943397522,-0.36098426580429077,0.14841091632843018","1.2826530933380127,-0.65554279088974,0.7328047156333923","-11.09261703491211,-28.073762893676758",Walking
"-0.7967250943183899,-0.41739892959594727,0.19979965686798096","0.89549720287323,-0.7152284979820251,0.4634568989276886","-11.649895668029785,-29.126989364624023",Walking
"-0.7198237776756287,-0.4483346939086914,0.13212579488754272","-0.32019346952438354,-0.807744026184082,0.017365701496601105","-12.207174301147461,-30.20937728881836",Walking
"-0.6183193325996399,-0.4600508213043213,-0.07829785346984863","-0.446246474981308,-1.3639100790023804,-0.23283934593200684","-13.321732521057129,-32.3320198059082",Walking
"-0.5497544407844543,-0.4743325710296631,-0.13648056983947754","-0.21150080859661102,-1.777334451675415,-0.38460224866867065","-13.879011154174805,-32.54850387573242",Walking
"-0.46970266103744507,-0.4240899085998535,-0.16265296936035156","0.14401523768901825,-2.2848033905029297,-0.39496445655822754","-14.993569374084473,-33.82777786254883",Walking
"-0.4929410219192505,-0.2452930212020874,-0.21245712041854858","0.08524060994386673,-2.6257166862487793,-0.10809942334890366","-15.550848007202148,-34.33634948730469",Walking
"-0.5419919490814209,-0.19782453775405884,-0.26196539402008057","0.06664109230041504,-2.9078311920166016,0.060324206948280334","-16.6654052734375,-33.25434875488281",Walking
"-0.6562007069587708,-0.17384040355682373,-0.3631972074508667","0.4499930143356323,-3.7162177562713623,-0.04369673132896423","-17.222684860229492,-34.10377502441406",Walking
"-0.7582189440727234,-0.12080234289169312,-0.3199906349182129","1.2715113162994385,-4.15263557434082,-0.9731143712997437","-18.337242126464844,-35.5616340637207",Walking
